"Story","Title","Result","Date","Stability","Duration (s)"
"To Test the Home Module Api.","Home Screen - To test home tab Api.","SUCCESS","2018-08-11T00:31:27.066+05:30[Asia/Kolkata]","0.0","1.07"
"To Test the Home Module Api.","Home Screen - To test home listing Apis.","SUCCESS","2018-08-11T00:31:28.14+05:30[Asia/Kolkata]","0.0","0.76"
"To Test the Home Module Api.","Home Screen - To test home Carousel Api.","SUCCESS","2018-08-11T00:31:28.898+05:30[Asia/Kolkata]","0.0","0.24"
"To Test the Home Module Api.","Buzz Screen - To test Category pills Api.","SUCCESS","2018-08-11T00:31:29.136+05:30[Asia/Kolkata]","0.0","1.04"
"To Test the Home Module Api.","Buzz Screen - To test Feed (based on the category selection) Api.","SUCCESS","2018-08-11T00:31:30.181+05:30[Asia/Kolkata]","0.0","0.19"
"To Test the Home Module Api.","Buzz Screen - To test listing Api.","SUCCESS","2018-08-11T00:31:30.376+05:30[Asia/Kolkata]","0.0","1.19"
"To Test the Home Module Api.","Music Screen - To test Carousel Api.","SUCCESS","2018-08-11T00:31:31.562+05:30[Asia/Kolkata]","0.0","0.24"
"To Test the Home Module Api.","Music Screen - To test Listing Api.","SUCCESS","2018-08-11T00:31:31.803+05:30[Asia/Kolkata]","0.0","0.37"
"To Test the Home Module Api.","Shows Screen - To test Carousel Api.","SUCCESS","2018-08-11T00:31:32.176+05:30[Asia/Kolkata]","0.0","0.23"
"To Test the Home Module Api.","Shows Screen - To test Listing Api.","SUCCESS","2018-08-11T00:31:32.408+05:30[Asia/Kolkata]","0.0","0.58"
"To Test the Home Module Api.","Movies Screen - To test Carousel Api.","SUCCESS","2018-08-11T00:31:32.984+05:30[Asia/Kolkata]","0.0","0.22"
"To Test the Home Module Api.","Movies Screen - To test Listing Api.","SUCCESS","2018-08-11T00:31:33.203+05:30[Asia/Kolkata]","0.0","0.56"
"To Test the Home Module Api.","Times Flow - To test video details api with different data.","SUCCESS","2018-08-11T00:31:33.765+05:30[Asia/Kolkata]","0.0","0.38"
