"Story","Title","Result","Date","Stability","Duration (s)"
"To Test the All Screen Pagination-Styles Api","To All Screen Pagination Api.","SUCCESS","2018-08-11T00:31:19.549+05:30[Asia/Kolkata]","0.0","4.62"
"To Test the All Screen Pagination-Styles Api","To test Styles Api.","SUCCESS","2018-08-11T00:31:24.17+05:30[Asia/Kolkata]","0.0","0.48"
"To Test the Details Module Api","Meta info & Playback Screen - Music Feature - To test home Music Api.","SUCCESS","2018-08-11T00:31:24.648+05:30[Asia/Kolkata]","0.0","0.35"
"To Test the Details Module Api","Meta info & Playback Screen - Movie Feature - To test home Movie Api.","SUCCESS","2018-08-11T00:31:24.995+05:30[Asia/Kolkata]","0.0","0.33"
"To Test the Details Module Api","Meta info & Playback Screen - Shorts Feature - To test Videos Shorts Api.","SUCCESS","2018-08-11T00:31:25.328+05:30[Asia/Kolkata]","0.0","0.29"
"To Test the Details Module Api","Meta info & Playback Screen - Episodes Feature - To test Videos Episodes Api.","SUCCESS","2018-08-11T00:31:25.622+05:30[Asia/Kolkata]","0.0","0.29"
"To Test the Details Module Api","Show Details Page - Meta Screen - To test TV Show Api.","SUCCESS","2018-08-11T00:31:25.919+05:30[Asia/Kolkata]","0.0","0.28"
"To Test the Details Module Api","Show Details Page - Meta Screen - To test Season Api.","SUCCESS","2018-08-11T00:31:26.2+05:30[Asia/Kolkata]","0.0","0.26"
"To Test the Details Module Api","Album Details Page - Meta Screen - To test Album Api.","SUCCESS","2018-08-11T00:31:26.46+05:30[Asia/Kolkata]","0.0","0.31"
"To Test the Details Module Api","Publisher - Publisher Screen - To test Publisher Api.","SUCCESS","2018-08-11T00:31:26.773+05:30[Asia/Kolkata]","0.0","0.29"
"To Test the Home Module Api.","Home Screen - To test home tab Api.","SUCCESS","2018-08-11T00:31:27.066+05:30[Asia/Kolkata]","0.0","1.07"
"To Test the Home Module Api.","Home Screen - To test home listing Apis.","SUCCESS","2018-08-11T00:31:28.14+05:30[Asia/Kolkata]","0.0","0.76"
"To Test the Home Module Api.","Home Screen - To test home Carousel Api.","SUCCESS","2018-08-11T00:31:28.898+05:30[Asia/Kolkata]","0.0","0.24"
"To Test the Home Module Api.","Buzz Screen - To test Category pills Api.","SUCCESS","2018-08-11T00:31:29.136+05:30[Asia/Kolkata]","0.0","1.04"
"To Test the Home Module Api.","Buzz Screen - To test Feed (based on the category selection) Api.","SUCCESS","2018-08-11T00:31:30.181+05:30[Asia/Kolkata]","0.0","0.19"
"To Test the Home Module Api.","Buzz Screen - To test listing Api.","SUCCESS","2018-08-11T00:31:30.376+05:30[Asia/Kolkata]","0.0","1.19"
"To Test the Home Module Api.","Music Screen - To test Carousel Api.","SUCCESS","2018-08-11T00:31:31.562+05:30[Asia/Kolkata]","0.0","0.24"
"To Test the Home Module Api.","Music Screen - To test Listing Api.","SUCCESS","2018-08-11T00:31:31.803+05:30[Asia/Kolkata]","0.0","0.37"
"To Test the Home Module Api.","Shows Screen - To test Carousel Api.","SUCCESS","2018-08-11T00:31:32.176+05:30[Asia/Kolkata]","0.0","0.23"
"To Test the Home Module Api.","Shows Screen - To test Listing Api.","SUCCESS","2018-08-11T00:31:32.408+05:30[Asia/Kolkata]","0.0","0.58"
"To Test the Home Module Api.","Movies Screen - To test Carousel Api.","SUCCESS","2018-08-11T00:31:32.984+05:30[Asia/Kolkata]","0.0","0.22"
"To Test the Home Module Api.","Movies Screen - To test Listing Api.","SUCCESS","2018-08-11T00:31:33.203+05:30[Asia/Kolkata]","0.0","0.56"
"To Test the Home Module Api.","Times Flow - To test video details api with different data.","SUCCESS","2018-08-11T00:31:33.765+05:30[Asia/Kolkata]","0.0","0.38"
"To Test the Live TV Module Apis","Player Screen - Music Feature - To test Player support for Live and DVR Api.","SUCCESS","2018-08-11T00:31:34.143+05:30[Asia/Kolkata]","0.0","0.24"
"To Test the Music Module Apis","Detail Screen - To test contributor values-Artist  Api.","SUCCESS","2018-08-11T00:31:34.38+05:30[Asia/Kolkata]","0.0","0.31"
"To Test the Pagination Recommendation Module Apis","Movies - To Test Movie Recommend Api.","SUCCESS","2018-08-11T00:31:34.694+05:30[Asia/Kolkata]","0.0","0.33"
"To Test the Pagination Recommendation Module Apis","Short Videos - To Test Watch Next Api.","SUCCESS","2018-08-11T00:31:35.026+05:30[Asia/Kolkata]","0.0","0.38"
"To Test the Pagination Recommendation Module Apis","Short Videos - To Test Short Related Videos Api.","SUCCESS","2018-08-11T00:31:35.409+05:30[Asia/Kolkata]","0.0","0.32"
"To Test the Recommendation Module Apis","Short Videos - To Test Short Videos Watch Next Api.","SUCCESS","2018-08-11T00:31:35.729+05:30[Asia/Kolkata]","0.0","0.39"
"To Test the Recommendation Module Apis","Movies - To Test Movie recommended Api.","SUCCESS","2018-08-11T00:31:36.117+05:30[Asia/Kolkata]","0.0","0.28"
"To Test the Recommendation Module Apis","Movies - To Test Movie Related Clips Api.","SUCCESS","2018-08-11T00:31:36.401+05:30[Asia/Kolkata]","0.0","0.26"
"To Test the Recommendation Module Apis","TV Show - To Test TV Show Episodes Api.","SUCCESS","2018-08-11T00:31:36.657+05:30[Asia/Kolkata]","0.0","0.31"
"To Test the Search Results Api","To Test Search Results Query Api.","SUCCESS","2018-08-11T00:31:36.965+05:30[Asia/Kolkata]","0.0","0.46"
"To Test the Search Results Api","To Test Search Results Trending Api.","SUCCESS","2018-08-11T00:31:37.43+05:30[Asia/Kolkata]","0.0","0.18"
"To Test the Search Results Api","To Test Search Suggestion Api.","SUCCESS","2018-08-11T00:31:37.61+05:30[Asia/Kolkata]","0.0","0.22"
